adjoint fermions	adjoint fermion species
K to pi nu nu@$K\to\pi\nu\bar{\nu}$ decay	K \to \pi \nu \bar{\nu}
K to pi pi@$K\to\pi\pi$ decay	K \to \pi \pi;\langle K | {\cal O}_{4q}| \pi \pi \rangle	see also Maiani-Testa theorem
Landau gauge	Landau gauge
Lüscher method	Lüscher method;L\"uscher	both "Lüscher" (UTF-8, heading) and "L\"uscher" (body) occur
Maiani-Testa theorem	Maiani-Testa No Go Theorem;Maiani and Testa
matrix element!vacuum	Vacuum matrix element
matrix element!multiparticle	multiparticle matrix elements
matrix element!nuclear	Nuclear matrix elements
MS-bar scheme@$\overline{\text{MS}}$ scheme	\overline{\text{MS}};DR-$\overline{\text{MS}}$
near-conformal gauge theories	near-conformal gauge theories;near-conformal behaviour
nuclear lattice effective field theory (NLEFT)	nuclear lattice effective theory (NLEFT);NLEFT
operator mixing	mixing of operators of different dimensions;power divergent operator mixing
operator renormalisation	Operator renormalisation	sections in both ch. 14 and ch. 17
overlap factor	overlap factors
parton distribution functions	parton distribution functions;nonlocal bilinear operator
phase shift	scattering phase shift;p \cot \delta(p)
power divergent subtraction (PDS) scheme	power divergent subtraction scheme;PDS
proton decay	proton decay matrix elements
quark wavefunction renormalisation	Quark wavefunction renormalisation
QED corrections	Isospin breaking and QED effects	chapter currently a stub; see also isospin breaking
renormalisation!perturbative	Perturbatively using analytic/numerical calculation of Feynman diagrams;Lattice PT
renormalisation!RI-MOM	RI-MOM;Rome-Southampton method;momentum subtraction scheme;MOM schemes
renormalisation!RI-SMOM	RI-SMOM;symmetric momentum point
renormalisation!Schrödinger functional	Schr\"odinger functional step-scaling method	see also step scaling
renormalisation!pseudoscalar density ($Z_P$)	Z_{P};f_{P}
resonance	Resonances;resonances in scattering	finite-volume spectrum signature
rho meson@$\rho$ meson	$\rho$ meson
Rome-Southampton method	Rome-Southampton method	see renormalisation!RI-MOM
running coupling	non-perturbative coupling definition;scale dependence of the coupling	see also step scaling
scattering amplitude	scattering amplitude;\mathcal{A}(L)
scattering length	scattering length
scattering!meson-meson	Meson-meson interactions
scattering!meson-baryon	Meson-baryon scattering
scattering!baryon-baryon	Baryon-baryon scattering
Schrödinger functional	Schr\"odinger functional;Schr\"odinger representation
Schrödinger functional!boundary conditions	boundary conditions;boundary fields
Schrödinger functional!boundary sources	bilinear boundary sources;boundary values
Schrödinger functional!coupling	Schr\"odinger-functional coupling;boundary plaquettes;effective action
Schrödinger functional!renormalisability	multiplicativly renormalisable;boundary fields for renormalisability	"multiplicativly" is the literal (misspelt) source text
second-order weak processes	second order electroweak processes;Second order weak processes
step scaling	step-scaling;step scaling	see also Schrödinger functional
step scaling!function $\sigma(u)$	step scaling function;\sigma(u);\Sigma(u, a / L)
SU(N) gauge theories@$SU(N_c)$ gauge theories	SU(N_c=2);SU(N_c = 4)	both spacings occur in source
technicolour	technicolour	see also walking technicolour
three-particle quantisation condition	generalised to three particle systems;Three and more particle interactions
toron configuration	toron configuration
twisted Schrödinger functional scheme	twisted Schr\"odinger-functional scheme;twisted Schr\"odinger functional scheme;defines a twist	hyphenated in ch. 17, unhyphenated in ch. 18
vacuum polarisation	vacuum polarisation	relevant for $(g-2)_\mu$
vertex function	vertex function
walking technicolour	walking technicolour;walking coupling
wave functional	wave functional
Wilson coefficients	Wilson coefficients
Wilson line	Wilson line
zero mode, removal of	remove the zero mode;boundary fields remove the zero mode
zeta function, three-dimensional	$3D$ zeta function
